split,selection_id,operation,sample_id,video_id,target,random,n_random
special,key.T.p20.word,delete,07,07,0.04238781829675038,0.04590386877457301,50
special,key.T.p20.word,global_keep,07,07,0.9196926951408386,0.8318507348746061,50
special,key.T.p20.word,conditional_keep,07,07,0.9718659867842993,0.8676020267854136,50
special,key.A.p10.point,delete,07,07,0.0003532618284225464,0.0011829272905985516,50
special,key.A.p20.point,delete,07,07,0.0007247477769851685,0.002120835582415263,50
special,key.A.p20.point,global_keep,07,07,0.6490402867396672,0.6456748829285303,50
special,key.A.p20.point,conditional_keep,07,07,0.9976270149151484,0.9918009631832441,50
special,key.A.p30.point,delete,07,07,0.0029790550470352173,0.0025216589371363316,50
special,key.A.p20.block3,delete,07,07,0.001252099871635437,0.0023664516029935894,11
special,key.A.p20.block3,global_keep,07,07,0.6414449612299602,0.65704947200632,11
special,key.A.p20.block3,conditional_keep,07,07,0.9957888722419739,0.9918218273105043,11
special,key.V.p10.point,delete,07,07,0.0007793158292770386,0.0014493369062741597,50
special,key.V.p20.point,delete,07,07,0.005533759792645773,0.003718953231970469,50
special,key.V.p20.point,global_keep,07,07,0.638829027613004,0.658222838267684,50
special,key.V.p20.point,conditional_keep,07,07,0.9798609266678492,0.9860773130257923,50
special,key.V.p30.point,delete,07,07,0.0063688407341639195,0.004257262349128723,50
special,key.V.p20.block3,delete,07,07,0.003059104084968567,0.003159845173358917,50
special,key.V.p20.block3,global_keep,07,07,0.6514017830292385,0.6570847945163648,50
special,key.V.p20.block3,conditional_keep,07,07,0.9892403533061346,0.9875420290231705,50
special,key.J.p10.joint,delete,07,07,0.09009007612864176,0.022700943549474082,50
special,key.J.p20.joint,delete,07,07,0.02991750339667002,0.03638039201498031,50
special,key.J.p20.joint,global_keep,07,07,0.9273985574642817,0.82852313986669,50
special,key.J.p20.joint,conditional_keep,07,07,0.9273985574642817,0.82852313986669,50
special,key.J.p30.joint,delete,07,07,0.03864363332589467,0.04251325070858002,50
special,key.U.p20.union,global_keep,07,07,0.9430791834990183,0.8499363194281857,50
special,key.T.p10.point,delete,08,08,0.042971854408582054,0.009645949800809225,10
special,key.T.p20.point,delete,08,08,0.09945497910181682,0.01896515725688501,44
special,key.T.p20.point,global_keep,08,08,0.9421575566132864,0.8182119539035764,44
