sample_id,video_id,input_status,duration,spoken_words,accepted_words,aligned_word_fraction,low_score_word_fraction,unlocated_word_count,diagnostic_wer,pairing_status,paired_use,vision_successful_candidates,vision_episode_count,vision_eligible_rows,vision_eligible_fraction,automatic_check_status,automatic_issue_count
-tPCytz4rww$_$18,-tPCytz4rww,ok,6.633333333333333,16,16,1.0,0.0,0,0.1875,no_issue_detected,1,166,1,166,1.0,completed,0
-uywlfIYOS8$_$4,-uywlfIYOS8,ok,6.033333333333333,18,18,1.0,0.0,0,0.6111111111111112,no_issue_detected,1,150,1,150,1.0,completed,0
-vxjVxOeScU$_$4,-vxjVxOeScU,ok,9.1,21,20,0.9523809523809523,0.047619047619047616,1,0.2857142857142857,no_issue_detected,1,227,1,200,0.8810572687224669,completed,0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,ok,6.033333333333333,22,22,1.0,0.0,0,0.0,unverifiable,0,150,7,0,0.0,completed,2
-wny0OAz3g8$_$0,-wny0OAz3g8,ok,3.333333333333333,9,9,1.0,0.0,0,0.2222222222222222,unverifiable,0,154,4,0,0.0,completed,2
-wny0OAz3g8$_$1,-wny0OAz3g8,ok,6.833333333333333,22,22,1.0,0.0,0,0.18181818181818182,unverifiable,0,183,7,0,0.0,completed,2
-wny0OAz3g8$_$2,-wny0OAz3g8,ok,6.666666666666666,23,23,1.0,0.0,0,0.2608695652173913,unverifiable,0,167,5,0,0.0,completed,2
-wny0OAz3g8$_$3,-wny0OAz3g8,ok,6.133333333333333,20,20,1.0,0.0,0,0.15,unverifiable,0,147,3,0,0.0,completed,2
-wny0OAz3g8$_$5,-wny0OAz3g8,ok,6.8999999999999995,20,20,1.0,0.0,0,0.35,unverifiable,0,177,7,0,0.0,completed,2
-wny0OAz3g8$_$7,-wny0OAz3g8,ok,8.066666666666666,29,29,1.0,0.0,0,0.2413793103448276,unverifiable,0,194,3,0,0.0,completed,2
-wny0OAz3g8$_$9,-wny0OAz3g8,ok,6.2,20,20,1.0,0.0,0,0.15,unverifiable,0,139,3,0,0.0,completed,2
-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,ok,29.266666666666666,49,39,0.7959183673469388,0.20408163265306123,10,1.2040816326530612,unverifiable,0,889,3,0,0.0,completed,6
-yRb-Jum7EQ$_$5,-yRb-Jum7EQ,ok,13.166666666666666,25,9,0.36,0.64,16,1.2,unverifiable,0,337,2,0,0.0,completed,6
-yRb-Jum7EQ$_$6,-yRb-Jum7EQ,ok,11.242539682539682,19,14,0.7368421052631579,0.2631578947368421,5,1.263157894736842,unverifiable,0,279,1,278,0.9928571428571429,completed,4
