sample_index,sample_id,video_id,diagnostic_wer,aligned_word_fraction,whisperx_wer,wer_percentile,unaligned_percentile,whisperx_wer_percentile,risk_score,risk_components,existing_ctc_alert,auxiliary_complete
3,-3g5yACwYnA$_$9,-3g5yACwYnA,0.30434782608695654,1.0,,0.48484848484848486,0.36363636363636365,,0.42424242424242425,2,False,False
83,-tPCytz4rww$_$11,-tPCytz4rww,0.29411764705882354,1.0,,0.46464646464646464,0.36363636363636365,,0.41414141414141414,2,False,False
15,-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0.2857142857142857,1.0,,0.4494949494949495,0.36363636363636365,,0.4065656565656566,2,False,False
84,-tPCytz4rww$_$12,-tPCytz4rww,0.2692307692307692,1.0,,0.43434343434343436,0.36363636363636365,,0.398989898989899,2,False,False
92,-wny0OAz3g8$_$2,-wny0OAz3g8,0.2608695652173913,1.0,,0.42424242424242425,0.36363636363636365,,0.3939393939393939,2,False,False
95,-wny0OAz3g8$_$7,-wny0OAz3g8,0.2413793103448276,1.0,,0.41414141414141414,0.36363636363636365,,0.3888888888888889,2,False,False
9,-9y-fZ3swSY$_$4,-9y-fZ3swSY,0.2222222222222222,1.0,,0.3888888888888889,0.36363636363636365,,0.3762626262626263,2,False,False
14,-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0.2222222222222222,1.0,,0.3888888888888889,0.36363636363636365,,0.3762626262626263,2,False,False
90,-wny0OAz3g8$_$0,-wny0OAz3g8,0.2222222222222222,1.0,,0.3888888888888889,0.36363636363636365,,0.3762626262626263,2,False,False
28,-THoVjtIkeU$_$2,-THoVjtIkeU,0.2,1.0,,0.3484848484848485,0.36363636363636365,,0.3560606060606061,2,False,False
50,-egA8-b7-3M$_$26,-egA8-b7-3M,0.2,1.0,,0.3484848484848485,0.36363636363636365,,0.3560606060606061,2,False,False
86,-tPCytz4rww$_$18,-tPCytz4rww,0.1875,1.0,,0.3333333333333333,0.36363636363636365,,0.3484848484848485,2,False,False
91,-wny0OAz3g8$_$1,-wny0OAz3g8,0.18181818181818182,1.0,,0.32323232323232326,0.36363636363636365,,0.3434343434343434,2,False,False
26,-RfYyzHpjk4$_$8,-RfYyzHpjk4,0.17647058823529413,1.0,,0.31313131313131315,0.36363636363636365,,0.3383838383838384,2,False,False
4,-3nNcZdcdvU$_$5,-3nNcZdcdvU,0.16666666666666666,1.0,,0.30303030303030304,0.36363636363636365,,0.33333333333333337,2,False,False
75,-s9qJ7ATP7w$_$5,-s9qJ7ATP7w,0.15789473684210525,1.0,,0.29292929292929293,0.36363636363636365,,0.3282828282828283,2,False,False
80,-t217m2on-s$_$7,-t217m2on-s,0.15555555555555556,1.0,,0.2828282828282828,0.36363636363636365,,0.3232323232323232,2,False,False
37,-a55Q6RWvTA$_$3,-a55Q6RWvTA,0.15384615384615385,1.0,,0.2727272727272727,0.36363636363636365,,0.3181818181818182,2,False,False
93,-wny0OAz3g8$_$3,-wny0OAz3g8,0.15,1.0,,0.25757575757575757,0.36363636363636365,,0.3106060606060606,2,False,False
96,-wny0OAz3g8$_$9,-wny0OAz3g8,0.15,1.0,,0.25757575757575757,0.36363636363636365,,0.3106060606060606,2,False,False
81,-tANM6ETl_M$_$3,-tANM6ETl_M,0.13636363636363635,1.0,,0.24242424242424243,0.36363636363636365,,0.30303030303030304,2,False,False
7,-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,0.11764705882352941,1.0,,0.2222222222222222,0.36363636363636365,,0.29292929292929293,2,False,False
6,-571d8cVauQ$_$5,-571d8cVauQ,0.11627906976744186,1.0,,0.21212121212121213,0.36363636363636365,,0.2878787878787879,2,False,False
