sample_id,video_id,selection,group_cost,point_cost,group_D,point_D
121128$_$0,121128,key.T.p20.word,2,2,0.058089323341846466,0.058089323341846466
121128$_$0,121128,key.A.p20.block3,2,2,0.0024234578013420105,0.0066462792456150055
121128$_$0,121128,key.V.p20.block3,2,2,0.0015666012962659201,0.003563793996969859
121128$_$5,121128,key.T.p20.block3,0,1,0.0,0.46533065844171995
121128$_$5,121128,key.T.p20.word,1,1,0.46533065844171995,0.46533065844171995
121128$_$5,121128,key.A.p20.block3,0,1,0.0,0.0029318034648895264
121128$_$5,121128,key.V.p20.block3,0,1,0.0,0.0006634493668874105
125344$_$0,125344,key.T.p20.block3,10,10,0.05719676800072193,0.05844974145293236
125344$_$0,125344,key.T.p20.word,10,10,0.26260138551394147,0.05844974145293236
125344$_$0,125344,key.A.p20.block3,10,10,0.003485916182398796,0.004205621778964996
125344$_$0,125344,key.V.p20.block3,3,3,0.012944253627210855,0.013170302457486589
125676$_$0,125676,key.T.p20.block3,3,3,0.05631748090187708,0.2919284825523694
125676$_$0,125676,key.T.p20.word,3,3,0.2919284825523694,0.2919284825523694
125676$_$0,125676,key.A.p20.block3,3,3,0.011219878991444904,0.006589218974113464
125676$_$0,125676,key.V.p20.block3,3,3,0.011402234435081482,0.011718392372131348
125676$_$4,125676,key.T.p20.block3,5,5,0.1551279624303182,0.2724058801929156
125676$_$4,125676,key.T.p20.word,5,5,0.3073565860589345,0.2724058801929156
125676$_$4,125676,key.A.p20.block3,5,5,0.0036227206389109292,0.004292478164037068
125676$_$4,125676,key.V.p20.block3,5,5,0.00715400775273641,0.0017969310283660889
128059$_$11,128059,key.T.p20.block3,8,8,0.4442729689180851,0.043203870455423996
128059$_$11,128059,key.T.p20.word,8,8,0.07733630140622458,0.043203870455423996
128059$_$11,128059,key.A.p20.block3,8,8,0.0013173123200734458,0.003075400988260905
128059$_$11,128059,key.V.p20.block3,8,8,0.01972133914629618,0.018486728270848594
128059$_$12,128059,key.T.p20.block3,3,3,0.3555747127781312,0.6205611551801363
128059$_$12,128059,key.T.p20.word,3,3,0.6205611551801363,0.6205611551801363
128059$_$12,128059,key.A.p20.block3,3,3,0.004102170467376709,0.00210002064704895
128059$_$12,128059,key.V.p20.block3,3,3,0.0039821068445841466,0.0037498275438944497
128059$_$2,128059,key.T.p20.block3,3,3,0.28232219194372493,0.13422570625940958
128059$_$2,128059,key.T.p20.word,3,3,0.13422570625940958,0.13422570625940958
128059$_$2,128059,key.A.p20.block3,3,3,0.004395167032877604,0.006459663311640422
128059$_$2,128059,key.V.p20.block3,3,3,0.0035164455572764077,0.00414241353670756
128059$_$7,128059,key.T.p20.block3,10,10,0.15577091090381145,0.13321676415701708
128059$_$7,128059,key.T.p20.word,10,10,0.009771838473776976,0.13321676415701708
128059$_$7,128059,key.A.p20.block3,10,10,0.003180287778377533,0.0029212571680545807
128059$_$7,128059,key.V.p20.block3,10,10,0.0022059188534816108,0.0025376901030540466
128059$_$6,128059,key.T.p20.block3,10,10,0.31219063078363735,0.30252985283732414
128059$_$6,128059,key.T.p20.word,10,10,0.21271737913290661,0.30252985283732414
128059$_$6,128059,key.A.p20.block3,10,10,0.0007364153861999512,0.0019945700963338218
128059$_$6,128059,key.V.p20.block3,10,10,0.0018371343612670898,0.0017519791920979817
128059$_$9,128059,key.T.p20.block3,4,4,0.20386754224697748,0.2707844537993272
128059$_$9,128059,key.T.p20.word,4,4,0.2556112452099721,0.2707844537993272
128059$_$9,128059,key.A.p20.block3,4,4,0.012395148475964863,0.018365332235892613
128059$_$9,128059,key.V.p20.block3,4,4,0.009105140964190166,0.02087703595558802
128763$_$12,128763,key.T.p20.block3,4,4,0.05144112060467402,0.009234532713890076
128763$_$12,128763,key.T.p20.word,4,4,0.1614822174112002,0.009234532713890076
128763$_$12,128763,key.A.p20.block3,4,4,0.006410844624042511,0.004460744559764862
128763$_$12,128763,key.V.p20.block3,4,4,0.012303613126277924,0.006835751235485077
128763$_$3,128763,key.T.p20.block3,5,5,0.04343157013257344,0.46186476697524387
128763$_$3,128763,key.T.p20.word,5,5,0.33041248718897503,0.46186476697524387
128763$_$3,128763,key.A.p20.block3,5,5,0.0035263001918792725,0.004188567399978638
128763$_$3,128763,key.V.p20.block3,5,5,0.0003070235252380371,0.0005003809928894043
128763$_$2,128763,key.T.p20.block3,2,2,0.010462358593940735,0.0173456110060215
128763$_$2,128763,key.T.p20.word,2,2,0.0173456110060215,0.0173456110060215
128763$_$2,128763,key.A.p20.block3,2,2,0.00192479540904363,0.0009159110486507416
128763$_$2,128763,key.V.p20.block3,2,2,0.0009309041003386179,0.0038046265641848245
128763$_$5,128763,key.T.p20.block3,2,2,0.09177487591902415,0.0898895263671875
128763$_$5,128763,key.T.p20.word,2,2,0.0898895263671875,0.0898895263671875
128763$_$5,128763,key.A.p20.block3,2,2,0.0029169023036956787,0.006014396746953328
128763$_$5,128763,key.V.p20.block3,2,2,0.0027333125472068787,0.002710069219271342
128763$_$7,128763,key.T.p20.block3,3,3,0.10668999950091043,0.04901144901911418
128763$_$7,128763,key.T.p20.word,3,3,0.14124596118927002,0.04901144901911418
128763$_$7,128763,key.A.p20.block3,3,3,0.003113438685735067,0.0007254282633463541
128763$_$7,128763,key.V.p20.block3,3,3,0.0009729961554209391,0.0009177724520365398
128763$_$8,128763,key.T.p20.block3,2,2,0.03313631316026052,0.050831650694211326
128763$_$8,128763,key.T.p20.word,2,2,0.21711439142624536,0.050831650694211326
