split,selection_id,operation,sample_id,video_id,target,random,n_random,gain,modality
valid,key.V.p20.point,delete,128059$_$7,128059,0.002537690103054,0.0019054713627944,50,0.0006322187402595999,V
valid,key.J.p20.joint,delete,128059$_$7,128059,0.1147234917928775,0.0269420244544744,50,0.0877814673384031,J
valid,key.T.p20.point,delete,128059$_$6,128059,0.3025298528373241,0.1199579020713766,50,0.18257195076594748,T
valid,key.A.p20.point,delete,128059$_$6,128059,0.0019945700963338,0.0028297966718673,50,-0.0008352265755334999,A
valid,key.V.p20.point,delete,128059$_$6,128059,0.0017519791920979,0.0010997249682744,50,0.0006522542238235,V
valid,key.J.p20.joint,delete,128059$_$6,128059,0.3399968962185085,0.0644864500965923,50,0.27551044612191616,J
valid,key.T.p20.point,delete,128059$_$9,128059,0.2707844537993272,0.1179709307507922,50,0.15281352304853502,T
valid,key.A.p20.point,delete,128059$_$9,128059,0.0183653322358926,0.0075236138094354,18,0.0108417184264572,A
valid,key.V.p20.point,delete,128059$_$9,128059,0.020877035955588,0.006167873809183,18,0.014709162146405,V
valid,key.J.p20.joint,delete,128059$_$9,128059,0.2675695301343997,0.1260560629051179,50,0.14151346722928182,J
valid,key.T.p20.point,delete,128763$_$12,128763,0.00923453271389,0.0774181156783985,50,-0.0681835829645085,T
valid,key.A.p20.point,delete,128763$_$12,128763,0.0044607445597648,0.0030435198793808,50,0.0014172246803839995,A
valid,key.V.p20.point,delete,128763$_$12,128763,0.006835751235485,0.0048047483464082,50,0.0020310028890767997,V
valid,key.J.p20.joint,delete,128763$_$12,128763,0.0601978621756037,0.0626174397704501,50,-0.0024195775948464004,J
valid,key.T.p20.point,delete,128763$_$3,128763,0.4618647669752438,0.0467114535967509,50,0.4151533133784929,T
valid,key.A.p20.point,delete,128763$_$3,128763,0.0041885673999786,0.0020406021674474,50,0.0021479652325312004,A
valid,key.V.p20.point,delete,128763$_$3,128763,0.0005003809928894,0.0003508458534876,50,0.00014953513940179996,V
valid,key.J.p20.joint,delete,128763$_$3,128763,0.4346536795298258,0.0447386479377746,50,0.3899150315920512,J
valid,key.T.p20.point,delete,128763$_$2,128763,0.0173456110060215,0.0258274967890853,50,-0.0084818857830638,T
valid,key.A.p20.point,delete,128763$_$2,128763,0.0009159110486507,0.0010984740406274,50,-0.00018256299197669994,A
valid,key.V.p20.point,delete,128763$_$2,128763,0.0038046265641848,0.0007401549567778,10,0.003064471607407,V
valid,key.J.p20.joint,delete,128763$_$2,128763,0.0151671233276526,0.0253418870918297,50,-0.0101747637641771,J
valid,key.T.p20.point,delete,128763$_$5,128763,0.0898895263671875,0.0449237384256862,35,0.0449657879415013,T
valid,key.A.p20.point,delete,128763$_$5,128763,0.0060143967469533,0.002865797219177,8,0.0031485995277763003,A
valid,key.V.p20.point,delete,128763$_$5,128763,0.0027100692192713,0.0011097969043822,35,0.0016002723148891003,V
valid,key.J.p20.joint,delete,128763$_$5,128763,0.086860271791617,0.0447579766313234,35,0.042102295160293596,J
valid,key.T.p20.point,delete,128763$_$7,128763,0.0490114490191141,0.0387510598699251,50,0.010260389149188996,T
valid,key.A.p20.point,delete,128763$_$7,128763,0.0007254282633463,0.0014051755269368,50,-0.0006797472635905,A
valid,key.V.p20.point,delete,128763$_$7,128763,0.0009177724520365,0.0005067050457,50,0.0004110674063365,V
valid,key.J.p20.joint,delete,128763$_$7,128763,0.0474134782950083,0.0280202066898345,50,0.019393271605173797,J
valid,key.T.p20.point,delete,128763$_$8,128763,0.0508316506942113,0.074849937732021,20,-0.024018287037809706,T
valid,key.A.p20.point,delete,128763$_$8,128763,0.0156903366247812,0.009309221473005,6,0.006381115151776202,A
valid,key.V.p20.point,delete,128763$_$8,128763,0.0049273272355397,0.0017346980671087,20,0.0031926291684310003,V
valid,key.J.p20.joint,delete,128763$_$8,128763,0.1426923274993896,0.0412514585824239,7,0.10144086891696569,J
valid,key.T.p20.point,delete,130456$_$11,130456,0.0459009607632954,0.0277544530232747,50,0.018146507740020697,T
