sample_id,modality,n_positions,top20_share,positive_fraction,negative_fraction,median_D
1HK7Nea0PFo$_$1,T,17,0.46387867281187833,0.47058823529411764,0.5294117647058824,0.0249150625119606
1HK7Nea0PFo$_$1,V,17,0.4946531311789291,0.5294117647058824,0.47058823529411764,0.0007726848125457
216097$_$1,A,13,0.36651586715412554,0.6153846153846154,0.38461538461538464,0.0016002357006072
216097$_$1,T,13,0.8028616592510249,0.6923076923076923,0.3076923076923077,0.0169562399387359
216097$_$1,V,4,0.48006527259560694,0.25,0.75,0.0011268258094787
216097$_$2,A,24,0.3974487416973905,0.375,0.625,0.00088397871392465
216097$_$2,T,24,0.46963745668739904,0.4583333333333333,0.5416666666666666,0.0105704492889344
216097$_$2,V,22,0.3544930743935729,0.5454545454545454,0.45454545454545453,0.00061594120537235
216097$_$4,A,46,0.3957874642172367,0.5652173913043478,0.43478260869565216,0.0004163980484008
216097$_$4,T,46,0.569138311756344,0.4782608695652174,0.5217391304347826,0.0106594761212666
216097$_$4,V,42,0.4204512418116227,0.47619047619047616,0.4523809523809524,0.0001478145519892
216097$_$5,A,32,0.45354790441328563,0.40625,0.59375,0.00069144616524375
216097$_$5,T,32,0.5117925108107735,0.65625,0.34375,0.0182228554040193
216097$_$5,V,27,0.4191829290880583,0.5925925925925926,0.4074074074074074,0.0003291790684064
216097$_$7,A,48,0.39008304931274496,0.4583333333333333,0.5,0.00032271941502885
216097$_$7,T,48,0.6439618540514885,0.4375,0.5625,0.00394027431805925
216097$_$7,V,44,0.3196616547726154,0.5227272727272727,0.45454545454545453,0.00021655857563015
216097$_$8,A,12,0.36591907330283935,0.4166666666666667,0.5833333333333334,0.0016387725869814
216097$_$8,T,12,0.6500724211396788,0.6666666666666666,0.3333333333333333,0.0297734290361404
216097$_$8,V,1,1.0,1.0,0.0,0.0499783257643381
223431$_$0,A,2,0.6764281216272404,0.5,0.5,0.02215259025494255
223431$_$0,T,2,0.9538146089304552,1.0,0.0,0.12090605497360225
223431$_$0,V,2,0.5004626410193412,0.5,0.5,0.0004321361581484
223431$_$10,A,13,0.3030228549574223,0.46153846153846156,0.5384615384615384,0.0006869733333587
223431$_$10,T,13,0.763681532915266,0.6923076923076923,0.3076923076923077,0.0137550234794616
223431$_$10,V,13,0.41753667996301025,0.6923076923076923,0.3076923076923077,0.0011106332143147
223431$_$11,A,27,0.35153132307360024,0.5185185185185185,0.48148148148148145,0.0003977020581563
223431$_$11,T,27,0.45030153983765075,0.5555555555555556,0.4444444444444444,0.0088514586289723
223431$_$11,V,27,0.46651379750421285,0.7407407407407407,0.2222222222222222,0.0002116163571675
223431$_$13,A,24,0.4660934708696214,0.5833333333333334,0.4166666666666667,0.00022422770659125
223431$_$13,T,24,0.6042376163119539,0.5833333333333334,0.4166666666666667,0.0075676788886388
223431$_$13,V,24,0.3026973345925261,0.4166666666666667,0.5833333333333334,0.0002590914567311
223431$_$5,A,17,0.3825863712891731,0.47058823529411764,0.5294117647058824,0.001380388935407
223431$_$5,T,17,0.5913852843881016,0.47058823529411764,0.5294117647058824,0.0140659511089324
223431$_$5,V,17,0.6203045619190346,0.7058823529411765,0.29411764705882354,0.000507300098737
225770$_$3,A,48,0.47098683348581627,0.5625,0.4375,0.00043831765651699997
225770$_$3,T,48,0.5305220022656256,0.5833333333333334,0.4166666666666667,0.0159036926925182
225770$_$3,V,48,0.39912956782681347,0.4791666666666667,0.5208333333333334,0.0004683323204517
225770$_$4,A,32,0.39652329990370727,0.28125,0.71875,0.000798354546229
225770$_$4,T,32,0.4644070253438654,0.5,0.5,0.0036852173507213
225770$_$4,V,32,0.328508629349822,0.625,0.375,0.0003415842851003
225770$_$5,A,6,0.44281108602669184,0.3333333333333333,0.6666666666666666,0.00265202050407725
225770$_$5,T,6,0.8669009875068489,0.6666666666666666,0.3333333333333333,0.00821213897628085
225770$_$5,V,6,0.49718604366967045,0.5,0.5,0.0016414584436764
225770$_$6,A,33,0.4563482642652328,0.3939393939393939,0.6060606060606061,0.000687338411808
225770$_$6,T,33,0.6143719951619088,0.5454545454545454,0.45454545454545453,0.0049992551406224
225770$_$6,V,33,0.2892713971170643,0.5151515151515151,0.48484848484848486,0.0005185032884279
236021$_$1,A,27,0.39825104838858877,0.6296296296296297,0.37037037037037035,0.0009493629137674
236021$_$1,T,27,0.44924822153090704,0.6296296296296297,0.37037037037037035,0.0055611605445543
236021$_$1,V,27,0.37895439837972955,0.6296296296296297,0.37037037037037035,0.0011884669462839
236021$_$12,A,12,0.3385773189384689,0.4166666666666667,0.5833333333333334,0.0031410505374272
236021$_$12,T,12,0.6160809325885501,0.5833333333333334,0.4166666666666667,0.0131863889594872
236021$_$12,V,12,0.29785538035763254,0.5,0.5,0.0010373058418432501
