sample_id,video_id,cluster_id,episode_keys_json,visual_signal_basis,valid_frame_count,real_sync_score,best_lag_s,null_count,null_median,null_p95,empirical_percentile,p_like_score,rank_within_sample,top1_top2_margin
-egA8-b7-3M$_$9,-egA8-b7-3M,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,125,0.072049208866625,-0.2,25,0.109236428649601,0.3156087425645195,0.44,0.5769230769230769,1,
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0,"[""0:0"",""0:1"",""1:5""]",mouth_landmarks_62_66_over_48_54,63,-0.0175467319857265,-0.2,25,0.2108753428743239,0.3505727594116579,0.12,0.8846153846153846,2,
-hnBHBN8p5A$_$6,-hnBHBN8p5A,1,"[""0:2"",""1:6""]",mouth_landmarks_62_66_over_48_54,7,0.7257898543662642,0.16,25,0.6191064774571511,0.7257925402379564,0.92,0.1153846153846153,1,0.7433365863519907
-hnBHBN8p5A$_$6,-hnBHBN8p5A,2,"[""0:3""]",mouth_landmarks_62_66_over_48_54,3,,,0,,,,,3,
-hnBHBN8p5A$_$6,-hnBHBN8p5A,3,"[""0:4""]",mouth_landmarks_62_66_over_48_54,1,,,0,,,,,4,
-hnBHBN8p5A$_$7,-hnBHBN8p5A,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,2,,,0,,,,,3,
-hnBHBN8p5A$_$7,-hnBHBN8p5A,1,"[""0:1"",""0:2"",""1:5"",""1:6""]",mouth_landmarks_62_66_over_48_54,80,0.2732689843269905,-0.2,26,0.3585930484657799,0.4660908128709503,0.3076923076923077,0.7037037037037037,2,
-hnBHBN8p5A$_$7,-hnBHBN8p5A,2,"[""0:3""]",mouth_landmarks_62_66_over_48_54,1,,,0,,,,,4,
-hnBHBN8p5A$_$7,-hnBHBN8p5A,3,"[""1:4""]",mouth_landmarks_62_66_over_48_54,14,0.6437908441537187,0.12,25,0.5884902882143456,0.8402035007018952,0.6,0.4230769230769231,1,0.3705218598267282
-iRBcNs9oI8$_$3,-iRBcNs9oI8,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,140,0.2991519850264018,0.12,24,0.0671334609652307,0.3797419356013704,0.875,0.16,1,
-iRBcNs9oI8$_$6,-iRBcNs9oI8,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,72,0.4035879478395937,0.16,26,0.2540608381674604,0.4346634976407307,0.8461538461538461,0.1851851851851851,1,
-iRBcNs9oI8$_$7,-iRBcNs9oI8,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,101,0.0839386070716143,0.12,26,0.265588902935301,0.5602201178675527,0.1538461538461538,0.8518518518518519,1,
-iRBcNs9oI8$_$8,-iRBcNs9oI8,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,201,0.3745203129550522,0.12,26,0.0667977224167899,0.3262834289249884,1.0,0.037037037037037,1,
-iRBcNs9oI8$_$9,-iRBcNs9oI8,0,"[""0:0"",""0:1""]",mouth_landmarks_62_66_over_48_54,58,-0.2007623725798233,0.12,26,0.0332067059041569,0.464423822781579,0.1153846153846153,0.8888888888888888,1,
-lzEya4AM_4$_$5,-lzEya4AM_4,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,191,-0.0022668591131523,0.04,26,0.065456631882078,0.1687633697391151,0.1153846153846153,0.8888888888888888,1,
-lzEya4AM_4$_$6,-lzEya4AM_4,0,"[""0:0"",""0:1""]",mouth_landmarks_62_66_over_48_54,356,0.2708620515341212,0.04,26,0.082782612189923,0.2120845019405531,0.9615384615384616,0.074074074074074,1,
-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,9,,,20,0.6740750700183611,0.8630597434842634,,,1,
-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,1,"[""1:1""]",mouth_landmarks_62_66_over_48_54,54,,,20,0.386103101979335,0.4461316234998934,,,2,
-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,56,0.4666445102229728,0.04,26,0.1232530134140547,0.4329251956802642,1.0,0.037037037037037,1,
