sample_id,sample_index,modality,Formal,Stage 2,Stage 3,change_pp,stage3_increment_pp
-ri04Z7vwnc$_$0,69,V,0.0,0.0,0.0,0.0,0.0
-ri04Z7vwnc$_$2,70,A,1.0,0.0,0.0,-100.0,0.0
-ri04Z7vwnc$_$2,70,T,0.0,0.0,0.0,0.0,0.0
-ri04Z7vwnc$_$2,70,V,0.34,0.34,0.34,0.0,0.0
-ri04Z7vwnc$_$5,71,A,1.0,0.0,0.0,-100.0,0.0
-ri04Z7vwnc$_$5,71,T,0.0,0.0,0.0,0.0,0.0
-ri04Z7vwnc$_$5,71,V,1.0,1.0,1.0,0.0,0.0
-s9qJ7ATP7w$_$0,72,A,0.98,0.98,0.98,0.0,0.0
-s9qJ7ATP7w$_$0,72,T,0.88,0.88,0.88,0.0,0.0
-s9qJ7ATP7w$_$0,72,V,0.0,0.0,0.0,0.0,0.0
-s9qJ7ATP7w$_$1,73,A,0.98,0.98,0.98,0.0,0.0
-s9qJ7ATP7w$_$1,73,T,0.68,0.68,0.68,0.0,0.0
-s9qJ7ATP7w$_$1,73,V,0.0,0.24,0.24,24.0,0.0
-s9qJ7ATP7w$_$4,74,A,0.98,0.98,0.98,0.0,0.0
-s9qJ7ATP7w$_$4,74,T,0.72,0.72,0.72,0.0,0.0
-s9qJ7ATP7w$_$4,74,V,0.0,0.08,0.32,32.0,24.0
-s9qJ7ATP7w$_$5,75,A,1.0,0.76,0.76,-24.0,0.0
-s9qJ7ATP7w$_$5,75,T,0.8,0.8,0.8,0.0,0.0
-s9qJ7ATP7w$_$5,75,V,1.0,1.0,1.0,0.0,0.0
-s9qJ7ATP7w$_$6,76,A,0.94,0.94,0.94,0.0,0.0
-s9qJ7ATP7w$_$6,76,T,0.58,0.58,0.58,0.0,0.0
-s9qJ7ATP7w$_$6,76,V,0.62,0.62,0.62,0.0,0.0
-s9qJ7ATP7w$_$7,77,A,1.0,1.0,1.0,0.0,0.0
-s9qJ7ATP7w$_$7,77,T,0.86,0.86,0.86,0.0,0.0
-s9qJ7ATP7w$_$7,77,V,0.0,0.0,0.0,0.0,0.0
-s9qJ7ATP7w$_$8,78,A,0.98,0.98,0.98,0.0,0.0
-s9qJ7ATP7w$_$8,78,T,0.7,0.7,0.7,0.0,0.0
-s9qJ7ATP7w$_$8,78,V,0.0,0.18,0.18,18.0,0.0
-t217m2on-s$_$2,79,A,1.0,1.0,1.0,0.0,0.0
-t217m2on-s$_$2,79,T,0.74,0.74,0.74,0.0,0.0
-t217m2on-s$_$2,79,V,1.0,1.0,1.0,0.0,0.0
-t217m2on-s$_$7,80,A,1.0,1.0,1.0,0.0,0.0
-t217m2on-s$_$7,80,T,0.92,0.92,0.92,0.0,0.0
-t217m2on-s$_$7,80,V,1.0,1.0,1.0,0.0,0.0
-tANM6ETl_M$_$3,81,A,1.0,1.0,1.0,0.0,0.0
