sample_id,semantic_pairing_status,semantic_reason,temporal_alignment_status,temporal_reason,forced_alignment_status,forced_alignment_coverage,common_word_count,common_word_fraction,start_median,end_median,midpoint_median,midpoint_p90,max_error,CTC_coverage,new_alignment_coverage
-hnBHBN8p5A$_$6,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,10,0.7692307692307693,0.7903316941624363,0.5983316941624364,0.6633129758883247,2.1130184486040604,2.334229854060913,0.7692307692307693,1.0
-hnBHBN8p5A$_$7,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,9,0.6923076923076923,3.1556369768722465,3.4219742566079288,3.278796393171806,4.700714812775329,4.862912307268721,0.6923076923076923,1.0
-iRBcNs9oI8$_$3,UNRESOLVED,within_video_clip_mapping_suspected,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,7,0.875,2.0879818313953487,2.4111984011627907,2.253369549418605,2.645902325581396,2.839202761627907,0.875,1.0
-iRBcNs9oI8$_$6,UNRESOLVED,within_video_clip_mapping_suspected,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,3,0.6,0.2431411637931034,0.3299105603448276,0.3027482040229884,0.3515688936781609,0.5072869971264368,0.6,1.0
-iRBcNs9oI8$_$7,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,5,0.5555555555555556,1.6048014112903224,1.6349747983870966,1.6198881048387097,1.7261568548387096,1.7661481854838712,0.5555555555555556,1.0
-iRBcNs9oI8$_$8,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,10,0.4761904761904761,4.37007975,4.586077749999999,4.43625196875,4.835961312500001,4.9535043750000005,0.4761904761904761,1.0
-iRBcNs9oI8$_$9,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,5,1.0,0.2571246995192306,0.2771246995192307,0.1296177884615386,0.441964393028846,0.6065123197115381,1.0,1.0
-lzEya4AM_4$_$5,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,19,1.0,0.2422964777542384,0.1790160222457628,0.2066568458686441,0.3310209878177972,0.6196059322033904,1.0,1.0
-lzEya4AM_4$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,43,1.0,0.1947835597826088,0.1535449728260864,0.2176813179347823,0.368962187499999,0.6313304347826083,1.0,1.0
-mJ2ud6oKI8$_$1,UNRESOLVED,within_video_clip_mapping_suspected,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,3,0.2307692307692307,1.2708976063829789,4.725488031914893,2.998192819148936,4.424882180851063,4.793259308510638,0.2307692307692307,1.0
