sample_id,video_id,episode_a,face_id_a,episode_b,face_id_b,cosine_similarity,episode_a_valid_embeddings,episode_b_valid_embeddings,episode_a_dispersion,episode_b_dispersion
-wny0OAz3g8$_$2,-wny0OAz3g8,1,0,4,1,0.0531220398843288,12,1,0.0295892655849456,0.0
-wny0OAz3g8$_$2,-wny0OAz3g8,2,1,3,1,0.1507727056741714,6,12,0.021165132522583,0.07918581366539
-wny0OAz3g8$_$2,-wny0OAz3g8,2,1,4,1,0.1553920954465866,6,1,0.021165132522583,0.0
-wny0OAz3g8$_$2,-wny0OAz3g8,3,1,4,1,0.0642352923750877,12,1,0.07918581366539,0.0
-wny0OAz3g8$_$3,-wny0OAz3g8,0,0,1,0,0.8677240610122681,12,10,0.0272935628890991,0.0276779532432556
-wny0OAz3g8$_$3,-wny0OAz3g8,0,0,2,1,0.9214442372322084,12,12,0.0272935628890991,0.084001749753952
-wny0OAz3g8$_$3,-wny0OAz3g8,1,0,2,1,0.9266636371612548,10,12,0.0276779532432556,0.084001749753952
-wny0OAz3g8$_$5,-wny0OAz3g8,0,0,1,0,0.10952028632164,12,4,0.0266483724117279,0.0282173156738281
-wny0OAz3g8$_$5,-wny0OAz3g8,0,0,2,0,0.1221119612455368,12,4,0.0266483724117279,0.0511316657066345
-wny0OAz3g8$_$5,-wny0OAz3g8,0,0,3,0,0.1220167055726051,12,3,0.0266483724117279,0.0454058051109313
-wny0OAz3g8$_$5,-wny0OAz3g8,0,0,4,0,0.8688052892684937,12,11,0.0266483724117279,0.0159009099006652
-wny0OAz3g8$_$5,-wny0OAz3g8,0,0,5,1,0.8909242153167725,12,12,0.0266483724117279,0.1026845276355743
-wny0OAz3g8$_$5,-wny0OAz3g8,0,0,6,2,0.1052631363272667,12,4,0.0266483724117279,0.0297232568264007
-wny0OAz3g8$_$5,-wny0OAz3g8,1,0,2,0,0.990325093269348,4,4,0.0282173156738281,0.0511316657066345
-wny0OAz3g8$_$5,-wny0OAz3g8,1,0,3,0,0.9868191480636596,4,3,0.0282173156738281,0.0454058051109313
-wny0OAz3g8$_$5,-wny0OAz3g8,1,0,4,0,0.1005540862679481,4,11,0.0282173156738281,0.0159009099006652
