sample_id,modality,D,phi_class,phi_score_raw,observed
216097$_$4,T,0.2734991709391276,0.4218510190645853,-0.7645187924305598,46
216097$_$4,A,0.026291827360788982,0.04955914119879404,-0.13336406151453656,46
216097$_$4,V,0.047324289878209434,0.08384641508261362,-0.1701652655998865,42
216097$_$7,T,0.38994529843330383,0.4562301139036814,1.3114940077066422,48
216097$_$7,A,0.012242376804351807,-0.05172659953435262,-0.09539698064327239,48
216097$_$7,V,0.03135037422180176,-0.014574875434239704,-0.1624172031879425,44
216097$_$8,T,0.30723123873273533,0.4737767527500788,-0.788112989316384,12
216097$_$8,A,0.01990408698717753,0.003360281387964884,0.10421453913052878,12
216097$_$8,V,0.04997832576433817,0.08520969251791635,-0.19023263330260912,1
223431$_$11,T,0.3055960536003113,0.496796707312266,-1.0368731593092282,27
223431$_$11,A,0.012306729952494303,0.03433572749296823,-0.008719717462857556,27
223431$_$11,V,0.055435359477996826,0.10978304843107858,-0.45354607452948886,27
223431$_$10,T,0.299580546716849,0.46467915674050647,-1.0038646658261616,13
223431$_$10,A,0.018833070993423462,0.043844198187192276,0.02585374812285105,13
223431$_$10,V,0.05914789438247681,0.10920341809590656,-0.3638834704955418,13
223431$_$13,T,0.2849104007085164,0.4457013656695683,-0.9176187167565026,24
223431$_$13,A,0.02833350499471029,0.039312188824017845,0.07267037530740099,24
223431$_$13,V,0.04263901710510254,0.08893807729085285,-0.28467006484667456,24
223431$_$0,T,0.270975686609745,0.30773779253164923,0.7777405518184726,2
223431$_$0,A,0.05349307010571162,-0.01589145263036092,0.23056490959910053,2
223431$_$0,V,0.04569641749064128,-0.11966729660828906,-0.3157508087266857,2
223431$_$5,T,0.11692579090595245,0.19685400029023487,-0.34529332576009136,17
223431$_$5,A,0.019165997703870136,0.009368961056073507,0.15688552971308428,17
223431$_$5,V,0.11060796678066254,0.15033789475758869,-0.5491152232668052,17
225770$_$3,T,0.0597793273627758,-0.03148326277732849,0.44373842452963197,48
225770$_$3,A,0.08440941385924816,0.07387681305408478,0.14047867556413016,48
225770$_$3,V,0.03208343436320622,-0.08013878762722015,-0.2565588938693205,48
225770$_$5,T,0.23426100666013858,0.401628370086352,0.3335937401279807,6
225770$_$5,A,0.031686810698981084,-0.012518902619679768,0.10227866563946007,6
225770$_$5,V,0.07982408946069579,0.10092356304327646,-0.42825742904096836,6
225770$_$4,T,0.25116702045003575,0.4171619862318039,0.3833597513536612,32
225770$_$4,A,0.034900978207588196,-0.0008911937475204476,0.17423279086748755,32
225770$_$4,V,0.04975949227809906,0.09278053045272827,-0.19834610943992928,32
225770$_$6,T,0.22391194850206375,0.3742586225271225,0.3541821275527279,33
225770$_$6,A,0.026873586854587,0.004696264863014221,0.10849156292776269,33
225770$_$6,V,0.0456074873606364,0.07721918821334839,-0.27242055193831527,33
236021$_$12,T,0.016988135874271393,-0.07072791457176207,0.1715052037810286,12
236021$_$12,A,0.03746786961952845,0.0013950914144515991,-0.11282358473787703,12
236021$_$12,V,0.1425104447019597,0.14811454713344574,0.2628635050108035,12
236021$_$1,T,0.24577637761831284,0.399777740240097,0.5060934151212375,27
236021$_$1,A,0.030072487890720367,0.0023279488086700457,0.057686443130175256,27
236021$_$1,V,0.006813849012056987,0.02510607242584228,-0.04879328360160194,27
236021$_$3,T,0.4142496610681216,0.5770985533793767,-1.423182557026545,7
236021$_$3,A,0.022585759560267128,0.03414206703503926,-0.10947122673193613,7
236021$_$3,V,0.02375407020250956,0.046592210729916886,-0.1242829809586207,7
236021$_$2,T,0.012082727005084356,-0.07430434723695119,-0.014963963379462573,48
236021$_$2,A,0.03376496955752373,-0.0006216218074162824,0.0013521450261274985,48
236021$_$2,V,0.013768976554274559,-0.03992577393849691,-0.08964591224988301,48
236021$_$5,T,0.23937523427108925,0.17517326772212982,1.1489560405413308,15
236021$_$5,A,0.044510190685590104,-0.028982922434806824,0.12964780504504836,15
236021$_$5,V,0.028884877761205036,-0.025428950786590573,-0.06364017104109129,15
236021$_$4,T,0.12773657962679863,0.22161906957626343,-0.20637460735936958,48
236021$_$4,A,0.018905052294333778,0.007690221071243286,0.08621135788659255,48
236021$_$4,V,0.009586905439694723,0.0075640082359313965,0.028849395612875608,48
237009$_$11,T,0.17699993774294853,0.27037676175435377,-0.46204260333130753,9
237009$_$11,A,0.032855664690335594,0.037859102090199784,0.1281785660733779,9
237009$_$11,V,0.06180053452650706,0.10700385769208272,-0.20236044718573493,9
237009$_$12,T,0.42218331495920813,0.5944469769795735,-1.7002285222212474,45
237009$_$12,A,0.009592562913894653,0.030391042431195572,-0.04635278383890788,45
237009$_$12,V,0.024157444636027016,0.05385292073090871,-0.22315717736879978,45
237009$_$4,T,0.24197353515774012,0.25241532921791077,0.7880198682347934,19
237009$_$4,A,0.06410771111647288,0.018161714076995846,0.18778178157905737,19
237009$_$4,V,0.02692447602748871,-0.007642775774002079,-0.061551037554939576,8
237009$_$7,T,0.4158041626214981,0.5976001620292664,-1.5453377043207486,8
237009$_$7,A,0.011613160371780396,0.030168235301971436,-0.006253232558568321,8
237009$_$7,V,0.01967853307723999,0.04811146855354309,-0.19609246899684268,8
237009$_$9,T,0.3604977323363225,0.4882985452810923,-1.2041593547910452,12
237009$_$9,A,0.023452311754226685,0.030895049373308815,0.009146809577941905,12
237009$_$9,V,0.03919838865598043,0.06937196354071298,-0.1028745416551829,12
241629$_$10,T,0.3895208338896433,0.5428060293197632,-1.5591765642166135,18
241629$_$10,A,0.01946265498797099,0.045629680156707764,-0.11241693794727332,18
241629$_$10,V,0.03979976971944173,0.07453116774559021,-0.28079454600811005,9
241629$_$0,T,0.291429082552592,0.3137255658706029,0.8207222546140351,13
241629$_$0,A,0.037092139323552445,-0.03882503012816111,0.12259184817473093,13
241629$_$0,V,0.022487302621205647,-0.08766547838846843,-0.37435963501532865,13
241629$_$3,T,0.24401084582010907,0.25376736621061957,0.9350497424602507,28
241629$_$3,A,0.009783297777175903,-0.06699553628762563,-0.008597493171691882,28
241629$_$3,V,0.05533776680628459,-0.11963399251302083,-0.2737450301647186,28
241629$_$5,T,0.16943778470158577,0.2629610300064087,0.3667153315618634,27
241629$_$5,A,0.032297959085553885,0.06202122569084167,0.05102184973657132,27
