sample_id,video_id,position,modality,D,delta_class,delta_score
130456$_$6,130456,20,T,0.009747236967086792,0.014711260795593262,-0.028699278831481934
130456$_$6,130456,20,A,0.000758826732635498,-0.0011215806007385254,0.0023764371871948242
130456$_$6,130456,20,V,0.00012315809726715088,0.0001819133758544922,-0.0003864169120788574
130456$_$6,130456,21,T,0.007832437753677368,0.013466894626617432,-0.013187885284423828
130456$_$6,130456,21,A,0.00065364936987559,0.0008766651153564453,0.002583801746368408
130456$_$6,130456,21,V,0.00021056830883026123,0.00011235475540161133,-0.0018526911735534668
130456$_$6,130456,22,T,0.0048424651225407915,0.006092548370361328,-0.021554291248321533
130456$_$6,130456,22,A,0.00037006040414174396,-0.0005505681037902832,-0.0011373162269592285
130456$_$6,130456,22,V,0.00037351250648498535,0.00018996000289916992,-0.0033423900604248047
130456$_$6,130456,23,T,0.004053329428037007,0.004537761211395264,-0.02141338586807251
130456$_$6,130456,23,A,0.0005026012659072876,-0.0007724165916442871,-0.0013967156410217285
130456$_$6,130456,23,V,0.0006639709075291951,-0.000544130802154541,0.004702866077423096
130456$_$6,130456,24,T,0.02394514779249827,0.02963078022003174,-0.10955709218978882
130456$_$6,130456,24,A,0.0010547091563542683,0.0011949539184570312,-0.005486786365509033
130456$_$6,130456,24,V,0.00028540194034576416,-0.0003565549850463867,-0.0012854933738708496
130456$_$6,130456,25,T,0.05497290690739949,0.0719987154006958,-0.22768259048461914
130456$_$6,130456,25,A,0.00340631107489268,0.0041127800941467285,-0.016199052333831787
130456$_$6,130456,25,V,0.0002237856388092041,-0.0002484917640686035,-0.0011944770812988281
130456$_$6,130456,26,T,0.0027559399604797363,0.002934694290161133,-0.015463113784790039
130456$_$6,130456,26,A,0.0003598680098851522,0.00030106306076049805,-0.002512037754058838
130456$_$6,130456,26,V,0.0002148995796839396,-0.00013744831085205078,-0.0017541050910949707
130456$_$6,130456,27,T,0.0224005530277888,0.032188236713409424,-0.07567721605300903
130456$_$6,130456,27,A,0.0008769879738489788,0.0009537935256958008,-0.0048010945320129395
130456$_$6,130456,27,V,8.582572142283121e-05,-6.842613220214844e-05,-0.000619351863861084
130456$_$6,130456,28,T,0.04598191877206167,0.06346088647842407,-0.17101770639419556
130456$_$6,130456,28,A,0.001287455360094706,0.0012848973274230957,-0.0077400803565979
130456$_$6,130456,28,V,0.0001383274793624878,-9.292364120483398e-05,-0.0011023879051208496
130456$_$6,130456,29,T,0.03747148811817169,0.05344623327255249,-0.12898045778274536
130456$_$6,130456,29,A,0.00011167426904042563,-0.0001590251922607422,-0.0003859400749206543
130456$_$6,130456,29,V,0.000137979785601298,-2.282857894897461e-05,0.0015187859535217285
130456$_$6,130456,30,T,0.029118835926055908,0.04037439823150635,-0.10717964172363281
130456$_$6,130456,30,A,0.00040893256664276123,0.00021576881408691406,-0.0036125779151916504
130456$_$6,130456,30,V,0.00017184019088745117,-6.496906280517578e-05,0.0016722679138183594
130456$_$6,130456,31,T,0.005442574620246887,0.008971810340881348,-0.01148003339767456
130456$_$6,130456,31,A,0.0003268371025721232,0.00038510560989379883,-0.0016114115715026855
