sample_id,video_id,episode_key,face_id,episode_id,start,end,frame_count,selected_frame_count,valid_embedding_count,robust_retained_count,dispersion,failures_json
-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,1:1,1,1,0.6333333333333333,1.5333333333333332,23,12,12,10,0.0218174755573272,[]
-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,1:2,1,2,1.9,1.933333333333333,1,1,1,1,0.0,[]
-s9qJ7ATP7w$_$5,-s9qJ7ATP7w,0:0,0,0,0.0,8.366666666666667,210,12,12,10,0.0775962769985199,[]
-s9qJ7ATP7w$_$6,-s9qJ7ATP7w,0:0,0,0,0.7333333333333333,2.2666666666666666,36,12,12,10,0.0974960327148437,[]
-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,0:0,0,0,0.2,0.2333333333333332,1,0,0,0,,[]
-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,0:1,0,1,2.2333333333333334,6.933333333333333,117,12,12,10,0.0004680156707763,[]
-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,1:2,1,2,4.5,6.266666666666667,44,12,12,10,0.0522206425666809,[]
-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,2:3,2,3,6.4,6.933333333333333,13,12,12,10,0.0276553034782409,[]
-s9qJ7ATP7w$_$8,-s9qJ7ATP7w,0:0,0,0,0.6333333333333333,3.1,62,12,12,10,0.0727744102478027,[]
-s9qJ7ATP7w$_$8,-s9qJ7ATP7w,1:1,1,1,0.0,3.2666666666666666,81,12,12,10,0.0009108483791351,[]
-t217m2on-s$_$2,-t217m2on-s,0:0,0,0,0.0,5.666666666666666,142,12,12,10,0.0664594769477844,[]
-t217m2on-s$_$7,-t217m2on-s,0:0,0,0,0.0,17.166666666666664,427,12,12,10,0.0637442171573638,[]
-tANM6ETl_M$_$3,-tANM6ETl_M,0:0,0,0,0.0,5.366666666666666,133,12,12,10,0.0333384573459625,[]
-tANM6ETl_M$_$3,-tANM6ETl_M,0:1,0,1,5.733333333333333,6.733333333333333,19,12,12,10,0.0131362676620483,[]
-tANM6ETl_M$_$3,-tANM6ETl_M,1:2,1,2,0.6333333333333333,0.6666666666666665,1,1,1,1,0.0,[]
-tPCytz4rww$_$10,-tPCytz4rww,0:0,0,0,0.0,4.766666666666667,119,12,12,10,0.0590590834617614,[]
-tPCytz4rww$_$11,-tPCytz4rww,0:0,0,0,0.0,5.466666666666667,137,12,12,10,0.0554684400558471,[]
-tPCytz4rww$_$12,-tPCytz4rww,0:0,0,0,0.0,11.833333333333334,295,12,12,10,0.0571978390216827,[]
-tPCytz4rww$_$16,-tPCytz4rww,0:0,0,0,0.0,7.166666666666666,180,12,12,10,0.0464427769184112,[]
-tPCytz4rww$_$18,-tPCytz4rww,0:0,0,0,0.0,6.633333333333333,166,12,12,10,0.056584358215332,[]
-uywlfIYOS8$_$4,-uywlfIYOS8,0:0,0,0,0.0,6.033333333333333,150,12,12,10,0.072362869977951,[]
-vxjVxOeScU$_$4,-vxjVxOeScU,0:0,0,0,0.0,9.1,227,12,12,10,0.1073091328144073,[]
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0:0,0,0,0.0,5.366666666666666,135,12,12,10,0.0690928101539611,[]
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0:1,0,1,5.4,5.566666666666666,5,5,5,4,0.1257090866565704,[]
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0:2,0,2,5.6,5.633333333333333,1,1,1,1,0.0,[]
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0:3,0,3,5.633333333333333,5.733333333333333,2,2,2,2,0.110343724489212,[]
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0:4,0,4,5.733333333333333,5.766666666666667,1,1,1,1,0.0,[]
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0:5,0,5,5.8,5.966666666666667,5,5,5,4,0.090067833662033,[]
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0:6,0,6,6.0,6.033333333333333,1,1,1,1,0.0,[]
-wny0OAz3g8$_$0,-wny0OAz3g8,0:0,0,0,0.0,2.7666666666666666,70,12,12,10,0.0656952261924743,[]
-wny0OAz3g8$_$0,-wny0OAz3g8,0:1,0,1,3.2666666666666666,3.333333333333333,2,2,2,2,0.0130973756313323,[]
-wny0OAz3g8$_$0,-wny0OAz3g8,1:2,1,2,0.0,2.7666666666666666,70,12,12,10,0.0005516111850738,[]
-wny0OAz3g8$_$0,-wny0OAz3g8,2:3,2,3,2.8666666666666667,3.333333333333333,12,12,12,10,0.0369016230106353,[]
-wny0OAz3g8$_$1,-wny0OAz3g8,0:0,0,0,0.0,0.4999999999999999,13,12,12,10,0.0364180207252502,[]
-wny0OAz3g8$_$1,-wny0OAz3g8,0:1,0,1,1.6666666666666667,1.7333333333333332,2,2,2,2,0.0096113681793212,[]
-wny0OAz3g8$_$1,-wny0OAz3g8,0:2,0,2,5.466666666666667,5.733333333333333,7,7,7,6,0.0254953503608703,[]
-wny0OAz3g8$_$1,-wny0OAz3g8,0:3,0,3,6.1,6.433333333333334,7,7,7,6,0.0987107753753662,[]
-wny0OAz3g8$_$1,-wny0OAz3g8,1:4,1,4,0.6333333333333333,6.266666666666667,141,12,12,10,0.0684968531131744,[]
-wny0OAz3g8$_$1,-wny0OAz3g8,2:5,2,5,0.7,0.7666666666666665,2,2,2,2,0.0122448205947875,[]
-wny0OAz3g8$_$1,-wny0OAz3g8,2:6,2,6,6.4,6.833333333333333,11,11,11,9,0.0270925760269165,[]
-wny0OAz3g8$_$2,-wny0OAz3g8,0:0,0,0,0.0,0.4999999999999999,13,12,12,10,0.0343881845474243,[]
-wny0OAz3g8$_$2,-wny0OAz3g8,0:1,0,1,6.066666666666666,6.666666666666666,13,12,12,10,0.0295892655849456,[]
-wny0OAz3g8$_$2,-wny0OAz3g8,1:2,1,2,0.0333333333333333,0.2666666666666665,6,6,6,5,0.021165132522583,[]
-wny0OAz3g8$_$2,-wny0OAz3g8,1:3,1,3,0.6333333333333333,5.966666666666667,134,12,12,10,0.07918581366539,[]
-wny0OAz3g8$_$2,-wny0OAz3g8,1:4,1,4,6.2,6.233333333333333,1,1,1,1,0.0,[]
-wny0OAz3g8$_$3,-wny0OAz3g8,0:0,0,0,0.0,0.4666666666666665,12,12,12,10,0.0272935628890991,[]
-wny0OAz3g8$_$3,-wny0OAz3g8,0:1,0,1,5.733333333333333,6.133333333333333,10,10,10,8,0.0276779532432556,[]
-wny0OAz3g8$_$3,-wny0OAz3g8,1:2,1,2,0.6333333333333333,5.733333333333333,125,12,12,10,0.084001749753952,[]
-wny0OAz3g8$_$5,-wny0OAz3g8,0:0,0,0,0.0,0.4999999999999999,13,12,12,10,0.0266483724117279,[]
-wny0OAz3g8$_$5,-wny0OAz3g8,0:1,0,1,1.6666666666666667,1.8333333333333333,4,4,4,4,0.0282173156738281,[]
-wny0OAz3g8$_$5,-wny0OAz3g8,0:2,0,2,2.3,2.4666666666666663,4,4,4,4,0.0511316657066345,[]
-wny0OAz3g8$_$5,-wny0OAz3g8,0:3,0,3,2.933333333333333,3.0666666666666664,3,3,3,3,0.0454058051109313,[]
-wny0OAz3g8$_$5,-wny0OAz3g8,0:4,0,4,6.4,6.9,11,11,11,9,0.0159009099006652,[]
-wny0OAz3g8$_$5,-wny0OAz3g8,1:5,1,5,0.6333333333333333,6.166666666666666,138,12,12,10,0.1026845276355743,[]
-wny0OAz3g8$_$5,-wny0OAz3g8,2:6,2,6,0.7,0.8666666666666666,4,4,4,4,0.0297232568264007,[]
-wny0OAz3g8$_$7,-wny0OAz3g8,0:0,0,0,0.0,0.4999999999999999,13,12,12,10,0.0196373760700225,[]
-wny0OAz3g8$_$7,-wny0OAz3g8,0:1,0,1,7.666666666666667,8.066666666666666,8,8,8,7,0.0290368199348449,[]
-wny0OAz3g8$_$7,-wny0OAz3g8,1:2,1,2,0.6333333333333333,7.566666666666666,173,12,12,10,0.090341031551361,[]
-wny0OAz3g8$_$9,-wny0OAz3g8,0:0,0,0,0.0,0.3666666666666665,10,10,10,8,0.0348480939865112,[]
-wny0OAz3g8$_$9,-wny0OAz3g8,0:1,0,1,0.6666666666666666,5.5,121,12,12,10,0.0960558354854583,[]
-wny0OAz3g8$_$9,-wny0OAz3g8,0:2,0,2,5.733333333333333,6.066666666666666,8,8,8,7,0.0204122066497802,[]
-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,0:0,0,0,0.0,29.266666666666666,728,12,12,10,0.0432306230068206,[]
-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,1:1,1,1,0.0,2.7666666666666666,68,12,12,10,0.0276700854301452,[]
-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,2:2,2,2,2.8666666666666667,6.633333333333333,93,12,12,10,0.0503337979316711,[]
-yRb-Jum7EQ$_$5,-yRb-Jum7EQ,0:0,0,0,0.0,13.166666666666666,329,12,12,10,0.0415413379669189,[]
-yRb-Jum7EQ$_$5,-yRb-Jum7EQ,1:1,1,1,2.2666666666666666,2.6333333333333333,8,8,8,7,0.0298890471458435,[]
-yRb-Jum7EQ$_$6,-yRb-Jum7EQ,0:0,0,0,0.0,11.166666666666666,279,12,12,10,0.0490569770336151,[]
