video_id,official_sample_id,audio_sample_id,is_diagonal,wer,cer,token_precision,token_recall,token_f1,character_similarity,score
-9y-fZ3swSY,-9y-fZ3swSY$_$0,-9y-fZ3swSY$_$4,0,1.0,0.8026315789473685,0.0,0.0,0.0,0.19736842105263153,0.09868421052631576
-9y-fZ3swSY,-9y-fZ3swSY$_$0,-9y-fZ3swSY$_$8,0,1.0,0.8026315789473685,0.0,0.0,0.0,0.19736842105263153,0.09868421052631576
-9y-fZ3swSY,-9y-fZ3swSY$_$4,-9y-fZ3swSY$_$0,0,2.6,3.4166666666666665,0.037037037037037035,0.1,0.05405405405405406,0.16326530612244894,0.1086596800882515
-9y-fZ3swSY,-9y-fZ3swSY$_$4,-9y-fZ3swSY$_$4,1,0.2,0.041666666666666664,0.8888888888888888,0.8,0.8421052631578948,0.96,0.9010526315789473
-9y-fZ3swSY,-9y-fZ3swSY$_$4,-9y-fZ3swSY$_$8,0,1.2,1.5,0.0,0.0,0.0,0.18181818181818177,0.09090909090909088
-9y-fZ3swSY,-9y-fZ3swSY$_$8,-9y-fZ3swSY$_$0,0,2.076923076923077,1.8604651162790697,0.0,0.0,0.0,0.18367346938775508,0.09183673469387754
-9y-fZ3swSY,-9y-fZ3swSY$_$8,-9y-fZ3swSY$_$4,0,1.0,0.813953488372093,0.0,0.0,0.0,0.18604651162790697,0.09302325581395349
-9y-fZ3swSY,-9y-fZ3swSY$_$8,-9y-fZ3swSY$_$8,1,0.15384615384615385,0.023255813953488372,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.9772727272727273,0.9286363636363636
-AUZQgSxyPQ,-AUZQgSxyPQ$_$2,-AUZQgSxyPQ$_$2,1,0.07317073170731707,0.055299539170506916,0.9285714285714286,0.9512195121951219,0.9397590361445782,0.9457013574660633,0.9427301968053208
-HeZS2-Prhc,-HeZS2-Prhc$_$2,-HeZS2-Prhc$_$2,1,0.1875,0.22950819672131148,0.8421052631578947,1.0,0.9142857142857143,0.8133333333333334,0.8638095238095238
-HwX2H8Z4hY,-HwX2H8Z4hY$_$2,-HwX2H8Z4hY$_$2,1,1.0,0.8611111111111112,0.0,0.0,0.0,0.13888888888888884,0.06944444444444442
-HwX2H8Z4hY,-HwX2H8Z4hY$_$2,-HwX2H8Z4hY$_$5,0,0.8571428571428571,0.9444444444444444,0.4444444444444444,0.5714285714285714,0.5,0.46875,0.484375
-HwX2H8Z4hY,-HwX2H8Z4hY$_$2,-HwX2H8Z4hY$_$6,0,1.0,0.8055555555555556,0.0,0.0,0.0,0.19444444444444442,0.09722222222222221
-HwX2H8Z4hY,-HwX2H8Z4hY$_$2,-HwX2H8Z4hY$_$9,0,2.857142857142857,2.0277777777777777,0.047619047619047616,0.14285714285714285,0.07142857142857142,0.22340425531914898,0.1474164133738602
-HwX2H8Z4hY,-HwX2H8Z4hY$_$5,-HwX2H8Z4hY$_$2,0,1.0,0.875,0.0,0.0,0.0,0.125,0.0625
-HwX2H8Z4hY,-HwX2H8Z4hY$_$5,-HwX2H8Z4hY$_$5,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
-HwX2H8Z4hY,-HwX2H8Z4hY$_$5,-HwX2H8Z4hY$_$6,0,1.0,0.78125,0.0,0.0,0.0,0.21875,0.109375
-HwX2H8Z4hY,-HwX2H8Z4hY$_$5,-HwX2H8Z4hY$_$9,0,2.2222222222222223,1.171875,0.047619047619047616,0.1111111111111111,0.06666666666666667,0.2021276595744681,0.13439716312056738
-HwX2H8Z4hY,-HwX2H8Z4hY$_$6,-HwX2H8Z4hY$_$2,0,1.0,0.7916666666666666,0.0,0.0,0.0,0.20833333333333337,0.10416666666666669
-HwX2H8Z4hY,-HwX2H8Z4hY$_$6,-HwX2H8Z4hY$_$5,0,1.2857142857142858,2.125,0.0,0.0,0.0,0.203125,0.1015625
