sample_id,semantic_pairing_status,semantic_reason,temporal_alignment_status,temporal_reason,forced_alignment_status,forced_alignment_coverage,common_word_count,common_word_fraction,start_median,end_median,midpoint_median,midpoint_p90,max_error,CTC_coverage,new_alignment_coverage,conflict_cause,visual_candidate_status,verified_visual_duration,ambiguous_duration,missing_duration,usable_fraction
-aqamKhZ1Ec$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,PARTIAL,official_text_has_reliable_partial_times_but_time_agreement_is_below_VERIFIED,ok,1.0,13,0.9285714285714286,0.3800884955752206,0.24015514380530956,0.31012181969026553,1.0951337112831863,1.936857300884956,0.9285714285714286,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,11.0,0,0.0
-dxfTGcXJoc$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,40,1.0,0.2815954670329681,0.19633379120879146,0.2581775902668759,0.39770122154630944,0.657071624803768,1.0,1.025,unresolved_algorithmic_or_content_conflict,partially_verified,14.75,1.5333333333333314,4.25,0.7183441558441559
-dxfTGcXJoc$_$1,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,36,1.0,0.33438437499999996,0.2106856249999991,0.2718756249999992,0.41774781250000004,0.6462849999999989,1.0,1.0,unresolved_algorithmic_or_content_conflict,fully_verified,14.75,1.3833333333333329,0,0.9142561983471075
-dxfTGcXJoc$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,34,1.0,0.28084236512524186,0.15816805154142743,0.2574263457369952,0.3638593147880547,0.5928252047206204,1.0,1.0,unresolved_algorithmic_or_content_conflict,fully_verified,15.75,0.9166666666666643,0,0.9450000000000002
-dxfTGcXJoc$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,27,1.0,0.27185905774111685,0.215253727791878,0.23272485723350234,0.400787484137055,0.622130155456853,1.0,1.0,unresolved_algorithmic_or_content_conflict,fully_verified,11.75,0.9833333333333325,0,0.9227748691099477
-egA8-b7-3M$_$1,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,20,1.0,0.25619303797468396,0.17945174050632984,0.24693809335443118,0.4098380340189875,0.8365356012658234,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,10.233333333333333,0,0.0
-egA8-b7-3M$_$13,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,11,1.0,0.2905564999999999,0.21914149999999966,0.26039900000000005,0.41370024999999955,0.9635004999999996,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,4.166666666666666,0,0.0
-egA8-b7-3M$_$16,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,11,1.0,0.27389117647058825,0.17656764705882377,0.21802058823529347,0.3326176470588236,0.48273235294117667,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,5.533333333333333,0,0.0
-egA8-b7-3M$_$17,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,PARTIAL,official_text_has_reliable_partial_times_but_time_agreement_is_below_VERIFIED,ok,1.0,16,1.0,0.31813970588235274,0.2671397058823526,0.30081108597285044,0.4440699943438912,0.6448518099547504,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,7.266666666666667,0,0.0
-egA8-b7-3M$_$18,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,22,1.0,0.25210019455252874,0.17644224221789878,0.255528331712062,0.3813941147859923,0.6548827821011667,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,8.366666666666667,0,0.0
-egA8-b7-3M$_$20,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,20,1.0,0.2448474813432837,0.19815453980099523,0.21954131685323397,0.3173947061567168,0.6484530472636818,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,6.633333333333333,0,0.0
-egA8-b7-3M$_$26,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,15,1.0,0.26844480298913087,0.20484358016304416,0.23829755434782618,0.3490522078804348,0.6087272418478262,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,6.0,0,0.0
-egA8-b7-3M$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,12,1.0,0.26986588541666634,0.16915625000000012,0.2656101888020833,0.36008909505208336,0.5206715494791667,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,6.233333333333333,0,0.0
-egA8-b7-3M$_$9,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,10,1.0,0.32301960784313777,0.20825735294117687,0.29410477941176494,0.39085202205882397,0.5304313725490202,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,5.066666666666666,0,0.0
-hnBHBN8p5A$_$6,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,10,0.7692307692307693,0.7903316941624363,0.5983316941624364,0.6633129758883247,2.1130184486040604,2.334229854060913,0.7692307692307693,1.0,two_ASRs_agree_but_both_conflict_with_official,unresolved,0,5.25,1.1313777777777778,0.0
-hnBHBN8p5A$_$7,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,9,0.6923076923076923,3.1556369768722465,3.4219742566079288,3.278796393171806,4.700714812775329,4.862912307268721,0.6923076923076923,1.0,two_ASRs_agree_but_both_conflict_with_official,unresolved,0,6.3406666666666665,1.0,0.0
-iRBcNs9oI8$_$3,UNRESOLVED,within_video_clip_mapping_suspected,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,7,0.875,2.0879818313953487,2.4111984011627907,2.253369549418605,2.6459023255813956,2.839202761627907,0.875,1.0,clip_mapping_suspected,partially_verified,3.25,2.355600000000001,0,0.5797773654916512
-iRBcNs9oI8$_$6,UNRESOLVED,within_video_clip_mapping_suspected,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,3,0.6,0.24314116379310344,0.3299105603448276,0.30274820402298847,0.3515688936781609,0.5072869971264368,0.6,1.0,clip_mapping_suspected,partially_verified,2.25,0.6195333333333335,0,0.7840996213089236
-iRBcNs9oI8$_$7,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,5,0.5555555555555556,1.6048014112903224,1.6349747983870966,1.6198881048387095,1.7261568548387096,1.7661481854838712,0.5555555555555556,1.0,two_ASRs_agree_but_both_conflict_with_official,partially_verified,3.25,0.820733333333334,0,0.7983819459229294
-iRBcNs9oI8$_$8,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,10,0.47619047619047616,4.37007975,4.586077749999999,4.43625196875,4.835961312500001,4.9535043750000005,0.47619047619047616,1.0,two_ASRs_agree_but_both_conflict_with_official,partially_verified,5.0,3.0747333333333344,0,0.619215495248553
-iRBcNs9oI8$_$9,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,5,1.0,0.25712469951923067,0.2771246995192307,0.1296177884615386,0.44196439302884605,0.6065123197115381,1.0,1.0,two_ASRs_agree_but_both_conflict_with_official,unresolved,0,2.9034000000000004,0.5,0.0
-lzEya4AM_4$_$5,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,19,1.0,0.24229647775423846,0.17901602224576285,0.20665684586864413,0.3310209878177972,0.6196059322033904,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,5.5,2.166666666666666,0,0.7173913043478262
-lzEya4AM_4$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,43,1.0,0.19478355978260886,0.15354497282608648,0.2176813179347823,0.368962187499999,0.6313304347826083,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,8.75,6.016666666666666,0,0.5925507900677202
-mJ2ud6oKI8$_$1,UNRESOLVED,within_video_clip_mapping_suspected,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,3,0.23076923076923078,1.2708976063829787,4.725488031914893,2.998192819148936,4.424882180851063,4.793259308510638,0.23076923076923078,1.0,clip_mapping_suspected,missing,0,0,6.072733333333334,0.0
-mJ2ud6oKI8$_$2,CONFLICT,global_retrieval_prefers_other_audio,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,3,0.2727272727272727,1.2698935381355934,1.2454676906779663,1.2576806144067798,1.403347563559322,1.4419772245762712,0.2727272727272727,1.0,ASR_unstable,unresolved,0,3.2057,2.5,0.0
-mJ2ud6oKI8$_$6,UNRESOLVED,independent_semantic_evidence_is_inconclusive,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,3,0.6,0.09302083333333332,0.09347916666666661,0.09324999999999997,0.2126166666666667,0.33777083333333346,0.6,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,2.2355666666666667,0,0.0
-mJ2ud6oKI8$_$8,UNRESOLVED,independent_semantic_evidence_is_inconclusive,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,8,0.7272727272727273,0.37724467054263566,0.2808386627906976,0.2525591085271317,0.37505019379844945,0.42005474806201537,0.7272727272727273,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,1.5,2.671337868480725,0,0.3595968601187241
