sample_id,diagonal_score,row_best_sample_id,row_best_score,row_best_minus_diagonal,hungarian_sample_id,hungarian_score,mapping_suspected,video_id
-mJ2ud6oKI8$_$9,0.149452804377565,-mJ2ud6oKI8$_$9,0.149452804377565,0.0,-mJ2ud6oKI8$_$9,0.149452804377565,0,-mJ2ud6oKI8
-mqbVkbCndg$_$0,1.0,-mqbVkbCndg$_$0,1.0,0.0,-mqbVkbCndg$_$0,1.0,0,-mqbVkbCndg
-qDkUB0GgYY$_$6,0.8587301587301588,-qDkUB0GgYY$_$6,0.8587301587301588,0.0,-qDkUB0GgYY$_$6,0.8587301587301588,0,-qDkUB0GgYY
-ri04Z7vwnc$_$0,0.0,-ri04Z7vwnc$_$5,0.15416666666666667,0.15416666666666667,-ri04Z7vwnc$_$0,0.0,0,-ri04Z7vwnc
-ri04Z7vwnc$_$2,0.05625000000000002,-ri04Z7vwnc$_$5,0.20892857142857146,0.15267857142857144,-ri04Z7vwnc$_$5,0.20892857142857146,1,-ri04Z7vwnc
-ri04Z7vwnc$_$5,0.12291666666666669,-ri04Z7vwnc$_$5,0.12291666666666669,0.0,-ri04Z7vwnc$_$2,0.10526315789473684,0,-ri04Z7vwnc
-s9qJ7ATP7w$_$0,1.0,-s9qJ7ATP7w$_$0,1.0,0.0,-s9qJ7ATP7w$_$0,1.0,0,-s9qJ7ATP7w
-s9qJ7ATP7w$_$1,0.7715173025732032,-s9qJ7ATP7w$_$1,0.7715173025732032,0.0,-s9qJ7ATP7w$_$1,0.7715173025732032,0,-s9qJ7ATP7w
-s9qJ7ATP7w$_$4,0.7797805642633229,-s9qJ7ATP7w$_$4,0.7797805642633229,0.0,-s9qJ7ATP7w$_$4,0.7797805642633229,0,-s9qJ7ATP7w
-s9qJ7ATP7w$_$5,1.0,-s9qJ7ATP7w$_$5,1.0,0.0,-s9qJ7ATP7w$_$5,1.0,0,-s9qJ7ATP7w
-s9qJ7ATP7w$_$6,0.803030303030303,-s9qJ7ATP7w$_$6,0.803030303030303,0.0,-s9qJ7ATP7w$_$6,0.803030303030303,0,-s9qJ7ATP7w
-s9qJ7ATP7w$_$7,1.0,-s9qJ7ATP7w$_$7,1.0,0.0,-s9qJ7ATP7w$_$7,1.0,0,-s9qJ7ATP7w
-s9qJ7ATP7w$_$8,0.7810304449648712,-s9qJ7ATP7w$_$8,0.7810304449648712,0.0,-s9qJ7ATP7w$_$8,0.7810304449648712,0,-s9qJ7ATP7w
-t217m2on-s$_$2,1.0,-t217m2on-s$_$2,1.0,0.0,-t217m2on-s$_$2,1.0,0,-t217m2on-s
-t217m2on-s$_$7,1.0,-t217m2on-s$_$7,1.0,0.0,-t217m2on-s$_$7,1.0,0,-t217m2on-s
-tANM6ETl_M$_$3,0.9773830820342448,-tANM6ETl_M$_$3,0.9773830820342448,0.0,-tANM6ETl_M$_$3,0.9773830820342448,0,-tANM6ETl_M
-tPCytz4rww$_$10,0.6916329284750338,-tPCytz4rww$_$10,0.6916329284750338,0.0,-tPCytz4rww$_$10,0.6916329284750338,0,-tPCytz4rww
-tPCytz4rww$_$11,0.651642475171887,-tPCytz4rww$_$11,0.651642475171887,0.0,-tPCytz4rww$_$11,0.651642475171887,0,-tPCytz4rww
-tPCytz4rww$_$12,0.7204241839966947,-tPCytz4rww$_$12,0.7204241839966947,0.0,-tPCytz4rww$_$12,0.7204241839966947,0,-tPCytz4rww
-tPCytz4rww$_$16,0.8202898550724638,-tPCytz4rww$_$16,0.8202898550724638,0.0,-tPCytz4rww$_$16,0.8202898550724638,0,-tPCytz4rww
-tPCytz4rww$_$18,0.8441971383147853,-tPCytz4rww$_$18,0.8441971383147853,0.0,-tPCytz4rww$_$18,0.8441971383147853,0,-tPCytz4rww
-uywlfIYOS8$_$4,0.8064432989690722,-uywlfIYOS8$_$4,0.8064432989690722,0.0,-uywlfIYOS8$_$4,0.8064432989690722,0,-uywlfIYOS8
-vxjVxOeScU$_$4,0.347949080622348,-vxjVxOeScU$_$4,0.347949080622348,0.0,-vxjVxOeScU$_$4,0.347949080622348,0,-vxjVxOeScU
-wMB_hJL-3o$_$7,1.0,-wMB_hJL-3o$_$7,1.0,0.0,-wMB_hJL-3o$_$7,1.0,0,-wMB_hJL-3o
-wny0OAz3g8$_$0,0.9099415204678363,-wny0OAz3g8$_$0,0.9099415204678363,0.0,-wny0OAz3g8$_$0,0.9099415204678363,0,-wny0OAz3g8
-wny0OAz3g8$_$1,0.8841463414634146,-wny0OAz3g8$_$1,0.8841463414634146,0.0,-wny0OAz3g8$_$1,0.8841463414634146,0,-wny0OAz3g8
-wny0OAz3g8$_$2,0.9636208206686929,-wny0OAz3g8$_$2,0.9636208206686929,0.0,-wny0OAz3g8$_$2,0.9636208206686929,0,-wny0OAz3g8
-wny0OAz3g8$_$3,0.9500690289921767,-wny0OAz3g8$_$3,0.9500690289921767,0.0,-wny0OAz3g8$_$3,0.9500690289921767,0,-wny0OAz3g8
-wny0OAz3g8$_$5,0.9586527293844367,-wny0OAz3g8$_$5,0.9586527293844367,0.0,-wny0OAz3g8$_$5,0.9586527293844367,0,-wny0OAz3g8
-wny0OAz3g8$_$7,0.9789124668435014,-wny0OAz3g8$_$7,0.9789124668435014,0.0,-wny0OAz3g8$_$7,0.9789124668435014,0,-wny0OAz3g8
-wny0OAz3g8$_$9,1.0,-wny0OAz3g8$_$9,1.0,0.0,-wny0OAz3g8$_$9,1.0,0,-wny0OAz3g8
-yRb-Jum7EQ$_$1,0.6341431894546394,-yRb-Jum7EQ$_$1,0.6341431894546394,0.0,-yRb-Jum7EQ$_$1,0.6341431894546394,0,-yRb-Jum7EQ
-yRb-Jum7EQ$_$5,0.48112109994711794,-yRb-Jum7EQ$_$5,0.48112109994711794,0.0,-yRb-Jum7EQ$_$5,0.48112109994711794,0,-yRb-Jum7EQ
-yRb-Jum7EQ$_$6,0.9331436699857754,-yRb-Jum7EQ$_$6,0.9331436699857754,0.0,-yRb-Jum7EQ$_$6,0.9331436699857754,0,-yRb-Jum7EQ
